ISBN,title,author,,,,,
1484,The Art of Agile Development," James Shore,  Shane Warden",,,,,
1635,Microsoft ISA Server 2000, Zubair Alexander,,,,,
1646,Microsoft Exchange Server 2003 Unleashed, Rand Morimoto,,,,,
1660,Microsoft Exchange Server 2003 Unleashed, Rand Morimoto,,,,,
1768,Microsoft(R) SharePoint(R) 2007 Development Unleashed," Kevin Hoffman,  Robert Foster",,,,,
1305,Handbook of relational database design, Candace C. Fleming,,,,,
1713,Inside Active Directory," Sakari Kouti,  Mika Seitsonen",,,,,
1576,The Pragmatic Programmer," Andrew Hunt,  David Thomas",,,,,
1876,Meetings That Work, Catherine Widdicombe,,,,,
1446,Programming Pearls (2nd Edition), Jon Bentley,,,,,
1328,Designing Enterprise Applications with the Java(TM) 2 Platform (Enterprise Edition)," Nicholas Kassem,  Nick Kassem,  Enterprise Team",,,,,
1598,Advanced Visual Basic 6, Matthew J. Curland,,,,,
1470,Metrics and Models in Software Quality Engineering (2nd Edition), Stephen H. Kan,,,,,
1716,Microsoft windows security resource kit, Ben Smith,,,,,
1517,Microsoft  Mobile Development Handbook," Andy Wigley,  Daniel Moth,  Peter Foot",,,,,
1934,How to break software, James A. Whittaker,,,,,
1403,The mythical man-month, Frederick P. Brooks,,,,,
1302,A guide to the SQL standard, C. J. Date,,,,,
1389,How to Set Up and Run Your Own Business (Creating Success), Daily Telegraph,,,,,
1875,Sales Meetings That Work, Richard Cavalier,,,,,
1929,Read This, Robert Gentle,,,,,
1361,Struts 2 Design and Programming,Budi. Kurniawan,,,,,
1440,Dreaming in Code, Scott Rosenberg,,,,,
1359,Starting Struts 2, Ian Roughley,,,,,
1445,Patterns of Enterprise Application Architecture, Martin Fowler,,,,,
1862,.NET Patterns, Christian Thilmany,,,,,
1411,Test Driven Development, Kent Beck,,,,,
1809,Lean Software Development," Mary Poppendieck,  Tom Poppendieck",,,,,
1810,The common language infrastructure annotated standard, James S. Miller,,,,,
1828,PHP and MySQL for dynamic Web sites, Larry E. Ullman,,,,,
1928,The non-designers design book,Robin Williams,,,,,
1431,User Stories Applied, Mike Cohn,,,,,
1478,User Stories Applied, Mike Cohn,,,,,
1284,Macromedia Flash MX 2004, Jen deHaan,,,,,
1285,Macromedia Flash MX 2004 ActionScript," Derek Franklin,  Jobe Makar",,,,,
1629,Effective C#, Bill Wagner,,,,,
1385,Extreme Programming Explained," Kent Beck,  Cynthia Andres",,,,,
1280,Adobe Photoshop CS2 Classroom in a Book, Adobe Systems Inc.,,,,,
1301,Don't Make Me Think, Steve Krug,,,,,
1844,How to break Web software, James A. Whittaker,,,,,
1419,Implementing Lean Software Development," Mary Poppendieck,  Tom Poppendieck",,,,,
1704,The Old New Thing, Raymond Chen,,,,,
1834,Beginning Game Development with Python and Pygame, Will McGugan,,,,,
1354,Practical Apache Struts 2 Web 2.0 Projects (Practical Projects), Ian Roughley,,,,,
1364,Practical Apache Struts 2 Web 2.0 Projects (Practical Projects), Ian Roughley,,,,,
1393,Painless Project Management with FogBugz, Mike Gunderloy,,,,,
1717,MCSA/MCSE Exam 70-291 Study Guide and Training System," Dr. Thomas W. Shinder,  Dan Douglas,  Hal Kurz,  Syngress Media,  Thomas W. Shinder,  Debra Littlejohn Shinder",,,,,
1638,LINQ in Action," Fabrice Marguerie,  Steve Eichert,  Jim Wooley",,,,,
1492,Cool Restaurants Istanbul,Cool Restaurants,,,,,
1326,"Core Java, Vol. 2"," Cay S. Horstmann,  Gary Cornell",,,,,
1823,Designing Social Web Applications (Voices That Matter), Joshua Porter,,,,,
1335,Harnessing Hibernate,"James Elliott, Tim O'Brien, Ryan Fowler",,,,,
1392,Online Marketing," Ravi Damani,  Chetan Damani,  Dana Farbo,  Jane Linton",,,,,
1402,The Innovator's Dilemma, Clayton M. Christensen,,,,,
1448,Scientific Computing on Itanium-Based Systems," Marius Cornea,  John Harrison,  Ping Tak Peter Tang",,,,,
1435,Scrum and XP from the Trenches, Henrik Kniberg,,,,,
1935,Lessons Learned in Software Testing," Cem Kaner,  James Bach,  Bret Pettichord",,,,,
1736,COM and the battle for the middle tier, Roger Sessions,,,,,
1641,MDX Solutions, George Spofford,,,,,
1351,Java testing patterns,"Jon Thomas, Matthew Young",,,,,
1363,Struts 2 in Action," Don Brown,  Chad Davis,  Scott Stanlick",,,,,
1728,ASP.NET 2.0 Instant Results (Programmer to Programmer)," Imar Spaanjaars,  Paul Wilton,  Shawn Livermore",,,,,
1444,Pattern-Oriented Software Architecture Volume 1," Frank Buschmann,  Regine Meunier,  Hans Rohnert,  Peter Sommerlad,  Michael Stal",,,,,
1502,Numerical solution of partial differential equations, K. W. Morton,,,,,
1466,Introduction to lattices and order, B. A. Davey,,,,,
1567,Object-oriented programming in Oberon-2, Hanspeter Mössenböck,,,,,
1349,Java servlet programming, Jason Hunter,,,,,
1708,VBScript pocket reference, Matt Childs,,,,,
1531,Ruby in a nutshell, Yukihiro Matsumoto,,,,,
1566,Network Security with OpenSSL," John Viega,  Matt Messier,  Pravir Chandra",,,,,
1536,TCP/IP Network Administration (3rd Edition; O'Reilly Networking), Craig Hunt,,,,,
1811,Shared source CLI essentials, David Stutz,,,,,
1532,sed and awk Pocket Reference, Arnold Robbins,,,,,
1533,sed and awk Pocket Reference, Arnold Robbins,,,,,
1350,"Java Swing, Second Edition"," James Elliott,  Marc Loy,  David Wood,  Brian Cole",,,,,
1338,Enterprise JavaBeans, Richard Monson-Haefel,,,,,
1438,CVS Pocket Reference," Gregor Purdy,  Gregor N. Purdy",,,,,
1848,Essential ActionScript 3.0, Colin Moock,,,,,
1882,Head First design patterns,"Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra",,,,,
1344,Java In A Nutshell, David Flanagan,,,,,
1464,Head First Object-Oriented Analysis and Design," Brett D. McLaughlin,  Gary Pollice,  Dave West",,,,,
1535,Switching to VoIP, Ted Wallingford,,,,,
1367,Enterprise JavaBeans 3.0 (5th Edition)," Bill Burke,  Richard Monson-Haefel",,,,,
1299,Web Design in a Nutshell," Jennifer Niederst Robbins,  Tantek Çelik,  Derek Featherstone,  Aaron Gustafson",,,,,
1544,Unix in a Nutshell, Arnold Robbins,,,,,
1584,PHP in a Nutshell," Paul Hudson,  Paul Hudson",,,,,
1688,SharePoint Office Pocket Guide, Jeff Webb,,,,,
1340,Java Enterprise in a Nutshell," Jim Farley,  William Crawford,  Prakash Malani,  John Norman,  Justin Gehtland",,,,,
1534,SUSE Linux, Chris Brown,,,,,
1637,Learning C# 2005," Jesse Liberty,  Brian MacDonald",,,,,
1530,Ruby Cookbook (Cookbooks (O'Reilly))," Lucas Carlson,  Leonard Richardson",,,,,
1298,HTML & XHTML," Chuck Musciano,  Bill Kennedy",,,,,
1296,CSS, Eric Meyer,,,,,
1942,Ajax on Rails, Scott Raymond,,,,,
1687,Pure Visual Basic, Dan Fox,,,,,
1700,Sams Teach Yourself Active Server Pages 3.0 in 21 Days," Scott Mitchell,  James Atkinson",,,,,
1317,Sams Teach Yourself Transact-SQL in 21 Days (2nd Edition), Lowell Mauer,,,,,
1702,Sams Teach Yourself Transact-SQL in 21 Days (2nd Edition), Lowell Mauer,,,,,
1318,Sams teach yourself SQL in 21 days, Ryan K. Stephens,,,,,
1320,Sams teach yourself Microsoft SQL server 2000 in 21 days, Richard Waymire,,,,,
1644,Microsoft BizTalk server 2004 unleashed,"Scott Woodgate, Stephen Mohr, Brian Loesgen",,,,,
1287,Macromedia Flash MX Professional 2004 Unleashed," David Vogeleer,  Matthew Pizzi",,,,,
1773,Windows Presentation Foundation Unleashed (WPF) (Unleashed), Adam Nathan,,,,,
1792,The 7 Habits of Highly Effective People, Stephen R. Covey,,,,,
1640,MCDBA SQL Server 2000 database design study guide (exam 70-229), Jeffrey Bane,,,,,
1853,Design patterns, Erich Gamma,,,,,
1649,Microsoft Backoffice Small Business Server 4.5 Resource Kit, Microsoft Corporation.,,,,,
1684,Programming Microsoft Office 2000 Web Components (Microsoft Programming Series), Dave Stearns,,,,,
1652,Microsoft(r) SQL Server(tm) 2000 Analysis Services Step by Step," OLAP Train,  Reed Jacobson",,,,,
1634,Introducing Microsoft(r) Exchange 2000 Server, Joanne Woodcock,,,,,
1621,Designing Secure Web-Based Applications for Microsoft(r) Windows(r) 2000, Michael Howard,,,,,
1650,Inside Microsoft SQL Server 2000, Kalen Delaney,,,,,
1611,MCSE Microsoft SQL Server 2000 Database Design and Implementation," Sharon Bjeletich,  Eddy Hahn",,,,,
1685,Programming Windows with C# (Core Reference), Charles Petzold,,,,,
1624,MCAD/MCSD Self-Paced Training Kit," Microsoft Corporation.,  Microsoft Corporation.",,,,,
1595,Microsoft .NET XML Web Services Step by Step," Adam Freeman,  Allen Jones,  Adam Freeman",,,,,
1599,Application Architecture for .NET, Microsoft Corporation.,,,,,
